Country,Income Classification,Severe Wasting,Wasting,Overweight,Stunting,Underweight,U5 Population ('000s),name
SOUTH AFRICA,2,2.92,5.371428571,13.61428571,29.07142857,9.714285714,5274.622,South Africa
SOUTH SUDAN,0,11.4,23.65,8.45,33.75,30.1,1459.2625,South Sudan
SRI LANKA,2,2.45,15.7625,1.05,21.8625,26,1753.71225,Sri Lanka
STATE OF PALESTINE,1,0.85,3.733333333,7.58,11.55,2.92,594.9526667,State Of Palestine
SUDAN (THE),1,4.766666667,15.4,2.9,36.86666667,29.93333333,5551.013,Sudan (The)
SURINAME,2,1.266666667,5.633333333,3.633333333,11.16666667,8.133333333,53.05966667,Suriname
SYRIAN ARAB REPUBLIC (THE),0,5.05,9.566666667,17.825,28.55,10.05,2476.209333,Syrian Arab Republic (The)
TAJIKISTAN,0,2.483333333,8.290909091,6.116666667,33.77272727,10.93333333,979.9402727,Tajikistan
THAILAND,2,1.475,6.083333333,6.62,17.73333333,12.46666667,4651.628833,Thailand
TIMOR-LESTE,1,4.775,15.62,3.65,55.38,42.8,160.4448,Timor-Leste
TOGO,0,2.0375,7.7125,2.4,30.92222222,18.93333333,957.8651111,Togo
TONGA,2,2.1,3.25,17.3,5.15,1.9,13.9005,Tonga
TRINIDAD AND TOBAGO,3,1.4,5.466666667,6.633333333,6.933333333,5.133333333,113.7133333,Trinidad And Tobago
TUNISIA,1,1.1,3.583333333,9.08,12.45,3.65,928.927,Tunisia
TURKEY,2,0.6,2.1,7.75,14.35,4.842857143,6543.739571,Turkey
TURKMENISTAN,2,1.6,6.166666667,5.2,19.5,7.633333333,563.6246667,Turkmenistan
TUVALU,2,0.9,3.3,6.3,10,1.6,1,Tuvalu
UGANDA,0,1.333333333,4.522222222,4.277777778,38.33333333,15.53333333,5647.890556,Uganda
UKRAINE,1,3.8,8.2,26.5,22.9,4.1,2160.097,Ukraine
UNITED REPUBLIC OF TANZANIA (THE),0,1.5,5.054545455,4.54,40.99090909,17.72727273,7373.048909,United Republic Of Tanzania (The)
UNITED STATES OF AMERICA (THE),3,0.04,0.514285714,7.414285714,2.914285714,0.88,20077.90957,United States Of America (The)
URUGUAY,3,0.65,2.383333333,9.166666667,14.24285714,5.128571429,255.659,Uruguay
UZBEKISTAN,1,2.975,6.475,10.925,23.7,7,2957.5055,Uzbekistan
VANUATU,1,1.7,5.8,4.8,26.76666667,11.26666667,31.77133333,Vanuatu
VENEZUELA (BOLIVARIAN REPUBLIC OF),2,,4.333333333,5.40952381,16.95714286,4.242857143,2787.800095,Venezuela (Bolivarian Republic Of)
VIET NAM,1,2.33125,8.661904762,3.317647059,34.92272727,22.91818182,7507.220273,Viet Nam
YEMEN,0,5.3,15.24285714,4.842857143,51.9,37.78571429,3269.476,Yemen
ZAMBIA,1,2.042857143,5.542857143,7.228571429,48.1375,17.88571429,2083.4945,Zambia
ZIMBABWE,1,1.388888889,4.166666667,5.788888889,30.45555556,10.71,1912.4504,Zimbabwe
